id,title,total_likes,total_purchases,unit_price_in_usd
200019,Drift Day,6,205,5.6
200088,Bloc Party- The Prayer,10,751,0
200108,Charlotte Gainsbourg- Songs That We Sing,23,1964,2.5
200197,5@5 vignettes,8,119,3.75
200256,hurdy gurdy,7,236,4.15
200346,BIKE THE DRIVE MAY 27 2007,26,415,30.08
200354,Musical 5 X 5 X Ctd3,7,125,11
200371,the scrotum song lipdub,8,1382,13.56
200373,Elevator Race - Nath x Naty,8,139,13.58
200386,THE DAY OF THE TEST,38,1016,64.8
200403,shark dance,7,193,4.8
200426,DIY video light Test 1,7,3115,3.45
200433,My New Apartment,34,6477,27.6
200448,5 Vignettes,9,227,5.15
200526,Jump Around,10,142,4.27
200558,100 Digits of Pi in 30(ish) Days. Epi. 1: Accepting the Challenge,8,427,23.56
200587,first video with new camera,21,900,36.16
200655,Hitler,8,1604,3.24
200698,Eyelash,8,1375,8.96
200740,Letterbox,7,128,14.91
200779,Reminders of Then,7,94,2.36
200844,"Robert Reich's vlog, May 30, 2007",10,1812,7.36
200950,5 Vignettes,10,300,7.08
200957,Vimeo Chat,11,491,31.28
200987,5 Vignettes 1,9,170,5.68
201039,Chat Evolution,27,758,27.54
201068,Kite,148,134282,36.25
201071,5x5,10,100,5.18
201084,"Lip Dubbing-Kate Bush, Running up that hill.",9,307,10.44
201149,Vimeo Band 1.0,7,66,5.4
201155,Vimeo Sings! Star Spangled Banner,10,286,13.02
201188,Me Right Now,6,87,6.37
201204,Garden Party,202,9017,54.81
201234,My 5x5 Vignette,9,229,8.72
201290,The Arcade Fire (Laika) -  Sasquatch '07,7,156,1.96
201292,Bjork - Sasquatch festival '07,7,483,7.91
201302,i'm.  batman.,11,176,20.74
201342,Vimeo Sings! Bohemian Rhapsody,11,386,13.35
201359,Selftitled,7,714,3.8
201367,Five Vignettes,16,193,10.72
201378,Jaffa Cake advert dream,12,412,27.75
201536,5 Vignettes,8,255,2.24
201589,Hair: [Not] The Musical,10,4150,15.62
201635,Airships Fill the Sky / Unsimulatable preview,11,2011,1.56
201700,The Kitten Vs the Bird 10 Rounds,6,1114,0
201713,"Important video!Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007-05-31/ Part 1",17,111,1.68
201728,"Important video!Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007-05-31/ Part -2",12,95,3.32
201750,"Important video!Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007-05-31/ Part-3",9,99,0.6
201765,"Important video!Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007-05-31/ Part-4",12,76,1.06
201768,"Important video!Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007-05-31/ Part-5",13,83,1.16
201830,"Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007, Radisson SAS/Part-1",8,67,1.18
201839,HUSTLE,6,1357,5.65
201854,Chris at South of the Border,10,1032,4.55
201855,linesagain,7,293,0
201869,"Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007 Radisson SAS Part-2",9,73,1.11
201917,Mini ramp Session,7,1571,3.45
201956,Visit to the Aerospace Museum,10,192,15.9
202001,cyrus,7,134,4.25
202026,Generico,10,573,8.55
202038,i could care less,30,311,37.8
202059,Ice Cream!,7,190,13.05
202067,Sneaking Into Graduation,10,1420,11.48
202080,5 vignettes: Transported to Hawai'i,11,152,12.76
202086,Buffalo! To the Moon!,109,2547,24.48
202147,"Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007 Radisson SAS Part-3",8,39,2.08
202156,"Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007 Radisson SAS Part-4",9,47,0.62
202161,"Conference de Presse de Adnan Oktar (Harun Yahya), Istanbul, 25 Mai 2007 Radisson SAS Part-5",10,61,1.01
